date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:48:18	429/429	---M-Z	200	added ('OK')	text/plain	etag:%22c4364c28afcd21:0%22	https://www.bartshealth.nhs.uk/robots.txt		(from )
01:48:18	91552/91552	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202017%2000:48:17%20GMT	https://www.bartshealth.nhs.uk/	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/index.html	(from )
01:48:18	223650/223650	---M-Z	200	added ('OK')	text/css	etag:%2252796d4a2bd31:0%22	https://www.bartshealth.nhs.uk/base-install/css/styles.css	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/base-install/css/styles.css	(from https://www.bartshealth.nhs.uk/)
01:48:19	2249/2249	---M-Z	200	added ('OK')	text/css	etag:%22e12bf524a44dd31:0%22	https://www.bartshealth.nhs.uk/base-install/css/support-styles.css	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/base-install/css/support-styles.css	(from https://www.bartshealth.nhs.uk/)
01:48:19	16269/16269	---M-Z	200	added ('OK')	application/javascript	etag:%224a491f71792cd31:0%22	https://www.bartshealth.nhs.uk/plugins/_lib_/modernizr-complete.min.js	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/plugins/_lib_/modernizr-complete.min.js	(from https://www.bartshealth.nhs.uk/)
01:48:20	19620/19620	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2003%20Nov%202017%2000:48:19%20GMT	https://use.typekit.net/xxg3vwx.js	C:/Users/Monique/Desktop/program/royal/royal/use.typekit.net/xxg3vwx.js	(from https://www.bartshealth.nhs.uk/)
01:48:20	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2003%20Nov%202017%2000:48:20%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Monique/Desktop/program/royal/royal/www.googletagmanager.com/gtm.45445.delayed	(from https://www.bartshealth.nhs.uk/)
01:48:20	36015/36015	---MC-	200	added ('OK')	text/javascript	date:Fri,%2020%20Oct%202017%2023:46:20%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Monique/Desktop/program/royal/royal/www.google-analytics.com/analytics.js	(from https://www.bartshealth.nhs.uk/)
01:48:21	72886/72886	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202017%2000:48:20%20GMT	https://www.bartshealth.nhs.uk/sitemap	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/sitemap.html	(from https://www.bartshealth.nhs.uk/)
01:48:21	65931/65931	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202017%2000:48:20%20GMT	https://www.bartshealth.nhs.uk/search	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/search.html	(from https://www.bartshealth.nhs.uk/)
01:48:22	19820/19820	---M--	200	added ('OK')	image/png	etag:%22d793e99b8afcd21:0%22	https://www.bartshealth.nhs.uk/base-install/images/main-logo/company-logo.png	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/base-install/images/main-logo/company-logo.png	(from https://www.bartshealth.nhs.uk/)
01:48:22	49797/49797	---M--	200	added ('OK')	image/png	etag:%22f028fc1d2cefd21:0%22	https://www.bartshealth.nhs.uk/media/images/versions/img94joktmu7902.png?bev=420	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/media/images/versions/img94joktmu79021fa3.png	(from https://www.bartshealth.nhs.uk/)
01:48:23	83276/83276	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202017%2000:48:23%20GMT	https://www.bartshealth.nhs.uk/our-services	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/our-services.html	(from https://www.bartshealth.nhs.uk/)
01:48:23	91393/91393	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202017%2000:48:23%20GMT	https://www.bartshealth.nhs.uk/all-services	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/all-services.html	(from https://www.bartshealth.nhs.uk/)
01:48:24	101456/101456	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202017%2000:48:24%20GMT	https://www.bartshealth.nhs.uk/acute-medicine	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/acute-medicine.html	(from https://www.bartshealth.nhs.uk/)
01:48:24	99089/99089	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202017%2000:48:24%20GMT	https://www.bartshealth.nhs.uk/air-ambulance	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/air-ambulance.html	(from https://www.bartshealth.nhs.uk/)
01:48:25	103529/103529	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202017%2000:48:25%20GMT	https://www.bartshealth.nhs.uk/allergies	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/allergies.html	(from https://www.bartshealth.nhs.uk/)
01:48:26	111132/111132	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202017%2000:48:25%20GMT	https://www.bartshealth.nhs.uk/anaesthetics-and-pain-management	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/anaesthetics-and-pain-management.html	(from https://www.bartshealth.nhs.uk/)
01:48:26	101091/101091	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202017%2000:48:26%20GMT	https://www.bartshealth.nhs.uk/arcare	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/arcare.html	(from https://www.bartshealth.nhs.uk/)
01:48:27	94729/94729	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202017%2000:48:26%20GMT	https://www.bartshealth.nhs.uk/behcets-syndrome	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/behcets-syndrome.html	(from https://www.bartshealth.nhs.uk/)
01:48:27	83979/83979	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202017%2000:48:27%20GMT	https://www.bartshealth.nhs.uk/find-a-consultant	C:/Users/Monique/Desktop/program/royal/royal/www.bartshealth.nhs.uk/find-a-consultant.html	(from https://www.bartshealth.nhs.uk/)
